Open Time,Open Price,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker Buy Base Asset Volume,Taker Buy Quote Asset Volume,Close Return
1599192000000,0.7063,0.78,0.6517,0.6672,190776.8,1599206399999,134059.148498,1337,75936.3,54265.2,NaN
1599206400000,0.6776,0.7798,0.6737,0.718,313009.7,1599220799999,229147.028352,1109,151155.8,110785.1,0.07613909
1599220800000,0.718,1.3,0.6851,0.7897,2559315.2,1599235199999,2127836.124687,11467,1146249.4,963011.7,0.09986072
1599235200000,0.7891,0.8023,0.7104,0.7661,700104.5,1599249599999,529793.3800850001,3937,314154.0,237539.5,-0.02988477
1599249600000,0.7681,0.86,0.7525,0.8183,687488.2,1599263999999,563034.781833,4430,295418.2,242240.4,0.06813732
1599264000000,0.8114,0.855,0.77,0.7829999999999999,413088.0,1599278399999,334996.903565,2603,192792.2,156927.6,-0.04313821
1599278400000,0.7775,0.85,0.77,0.809,349411.8,1599292799999,281233.682318,2248,144226.2,116420.1,0.03320562
1599292800000,0.809,0.809,0.662,0.6815,661909.6,1599307199999,483085.408165,2918,303248.5,220920.5,-0.15760198
1599307200000,0.6814,0.6920000000000001,0.604,0.6792,1084649.2,1599321599999,707450.667603,3866,559986.3,366650.7,-0.00337491
1599321600000,0.6756,0.6899,0.5502,0.5669,844339.6,1599335999999,514459.981387,4080,378750.2,230253.0,-0.16534158
1599336000000,0.5757,0.6495,0.5645,0.6371,561457.5,1599350399999,339282.672495,2843,296577.5,179028.1,0.12383136
1599350400000,0.639,0.648,0.615,0.634,280285.1,1599364799999,177157.463148,1334,119996.8,75912.7,-0.0048658
1599364800000,0.6379,0.76,0.619,0.7042,515528.2,1599379199999,333565.678579,2549,189552.6,125090.8,0.11072555
1599379200000,0.708,0.782,0.6881,0.7588,490971.2,1599393599999,358957.972988,2710,227900.3,166323.3,0.07753479
1599393600000,0.7655,0.7799,0.6875,0.7244,758045.6,1599407999999,559157.881783,3264,350346.2,258487.5,-0.04533474
1599408000000,0.7254,0.7886,0.7082,0.7818,313401.0,1599422399999,237798.918774,1854,173319.9,131545.7,0.07923799
1599422400000,0.7818,0.8092,0.7411,0.7809999999999999,373224.0,1599436799999,290068.811011,2188,186041.5,144936.1,-0.00102328
1599436800000,0.7777,0.8118,0.7377,0.757,265234.2,1599451199999,204764.876833,1514,86529.3,67396.2,-0.03072983
